title,content_html,category,folder,type,tags,keywords
How to Reset Your Account Password,"<h3>Overview</h3><p>This article explains how to reset a forgotten or expired account password without contacting IT.</p><h3>Prerequisites</h3><ul><li>Access to the registered recovery email or phone number.</li><li>Company network or VPN connection (for internal accounts).</li></ul><h3>Step-by-Step Instructions</h3><ol><li><strong>Access Login Page:</strong> Go to <strong>Login</strong> and click <strong>Forgot Password</strong>.</li><li><strong>Verify Identity:</strong> Request the one-time code sent to your registered email or phone.<ul><li>Enter the code within 10 minutes of receipt.</li><li>Codes expire after one use.</li></ul></li><li><strong>Generate New Password:</strong> Enter a new password that meets policy, then click <strong>Reset Password</strong>.<ul><li>Minimum 8 characters, 1 number, 1 special character.</li></ul></li><li><strong>Confirm Reset:</strong> You will see a status of <code>PASSWORD_RESET_SUCCESS</code> and be redirected to <strong>Login</strong>.</li></ol><blockquote><p>If the reset code doesn't arrive within 5 minutes, check spam folders before requesting a new one.</p></blockquote>",IT Support,General,Permanent,procedure,reset your account password
How to Enable Two-Factor Authentication,"<h3>Overview</h3><p>This article explains how to enable Two-Factor Authentication (2FA) to add an extra layer of security to your account.</p><h3>Prerequisites</h3><ul><li>An active account with a verified email address.</li><li>An authenticator app (e.g. Google Authenticator) installed on your phone.</li></ul><h3>Step-by-Step Instructions</h3><ol><li><strong>Access Security Settings:</strong> Go to <strong>Settings</strong> &rarr; <strong>Security</strong> &rarr; <strong>Authentication</strong>.</li><li><strong>Start 2FA Setup:</strong> Click <strong>Enable Two-Factor Authentication</strong>.</li><li><strong>Scan QR Code:</strong> Open your authenticator app and scan the QR code shown on screen.<ul><li>If scanning fails, use the manual setup key displayed below the QR code.</li></ul></li><li><strong>Verify Code:</strong> Enter the 6-digit code from your app and click <strong>Verify</strong>.</li><li><strong>Save Backup Codes:</strong> Download and store the backup codes shown, then click <strong>Done</strong>.<ul><li>Backup codes are shown only once.</li></ul></li></ol><blockquote><p>Store backup codes somewhere other than the device running your authenticator app.</p></blockquote>",IT Support,General,Permanent,feature,enable two-factor authentication
How to Set Up VPN Access on Windows,"<h3>Overview</h3><p>This article explains how to configure and connect to the company VPN on a Windows laptop.</p><h3>Prerequisites</h3><ul><li>A company-issued laptop enrolled in device management.</li><li>Your network username and password.</li></ul><h3>Step-by-Step Instructions</h3><ol><li><strong>Download VPN Client:</strong> Go to the internal software portal and download <strong>SecureConnect Client</strong>.</li><li><strong>Install Client:</strong> Run the installer and accept the default settings.</li><li><strong>Configure Server Address:</strong> Open the client and enter the server address <code>vpn.company.internal</code>.</li><li><strong>Authenticate:</strong> Enter your network username and password, then click <strong>Connect</strong>.<ul><li>First-time connections may take up to 60 seconds to authorize.</li></ul></li><li><strong>Confirm Connection:</strong> A status of <code>CONNECTED</code> appears in the client's top bar once the VPN is active.</li></ol>",IT Support,General,Permanent,procedure,set up vpn access on windows
How to Submit a New IT Support Ticket,"<h3>Overview</h3><p>This article explains how to raise a new IT support ticket through the employee help portal.</p><h3>Prerequisites</h3><ul><li>Access to the employee help portal with your company login.</li></ul><h3>Step-by-Step Instructions</h3><ol><li><strong>Access Ticket Form:</strong> Go to <strong>Help Portal</strong> &rarr; <strong>New Ticket</strong>.</li><li><strong>Select Category:</strong> Choose the relevant category from the <strong>Issue Type</strong> dropdown.<ul><li>Hardware, Software, Access Request, or Other.</li></ul></li><li><strong>Describe the Issue:</strong> Enter a clear subject line and a detailed description of the issue.<ul><li>Attach a screenshot if the issue is visual.</li></ul></li><li><strong>Set Priority:</strong> Select the appropriate <strong>Priority</strong> level and click <strong>Submit</strong>.</li><li><strong>Track Ticket:</strong> Note the ticket reference (e.g. <code>[TCK-1042]</code>) shown on the confirmation screen.</li></ol>",IT Support,General,Permanent,ui,submit a new it support ticket
How to Request Software Installation Approval,"<h3>Overview</h3><p>This article explains how to request approval to install non-standard software on a company device.</p><h3>Prerequisites</h3><ul><li>A business justification for the software request.</li><li>Manager's name for the approval step.</li></ul><h3>Step-by-Step Instructions</h3><ol><li><strong>Access Software Catalog:</strong> Go to <strong>Help Portal</strong> &rarr; <strong>Software Catalog</strong>.</li><li><strong>Search for Software:</strong> Search for the software by name in the catalog search bar.<ul><li>If not listed, select ""Request New Software"" instead.</li></ul></li><li><strong>Submit Justification:</strong> Enter a business justification and click <strong>Request Approval</strong>.</li><li><strong>Await Manager Approval:</strong> Your manager receives an approval request with status <code>PENDING_APPROVAL</code>.</li><li><strong>Install Software:</strong> Once approved, return to the catalog and click <strong>Install</strong>.<ul><li>Installation may require a device restart.</li></ul></li></ol><blockquote><p>Approval requests typically take 1–2 business days depending on manager availability.</p></blockquote>",IT Support,General,Permanent,procedure,request software installation approval
How to Connect to the Office Wi-Fi Network,<h3>Overview</h3><p>This article explains how to connect a personal or company device to the office Wi-Fi network.</p><h3>Prerequisites</h3><ul><li>Device Wi-Fi enabled.</li><li>A valid company username and password.</li></ul><h3>Step-by-Step Instructions</h3><ol><li><strong>Open Wi-Fi Settings:</strong> Go to your device's <strong>Settings</strong> &rarr; <strong>Wi-Fi</strong>.</li><li><strong>Select Network:</strong> Choose the network named <code>CorpNet-Secure</code> from the list.</li><li><strong>Enter Credentials:</strong> Enter your company username and password when prompted.<ul><li>Use your full email address as the username.</li></ul></li><li><strong>Trust Certificate:</strong> Click <strong>Trust</strong> when prompted to accept the network certificate.</li><li><strong>Confirm Connection:</strong> The Wi-Fi icon shows <strong>Connected</strong> once authentication succeeds.</li></ol>,IT Support,General,Permanent,ui,connect to the office wi-fi network
How to Update Your Profile Information,"<h3>Overview</h3><p>This article explains how to update your name, contact number, or department shown on your account profile.</p><h3>Prerequisites</h3><ul><li>An active account with edit permissions on your own profile.</li></ul><h3>Step-by-Step Instructions</h3><ol><li><strong>Access Profile:</strong> Go to <strong>Settings</strong> &rarr; <strong>Profile</strong>.</li><li><strong>Edit Details:</strong> Click <strong>Edit</strong> next to the field you want to change.</li><li><strong>Update Information:</strong> Enter the updated name, phone number, or department.<ul><li>Email address changes require a separate verification step.</li></ul></li><li><strong>Save Changes:</strong> Click <strong>Save</strong> to confirm the update.</li><li><strong>Verify Update:</strong> The updated details appear immediately on the <strong>Profile</strong> page.</li></ol>",IT Support,General,Permanent,ui,update your profile information
How to Recover a Deleted File from OneDrive,<h3>Overview</h3><p>This article explains how to recover a file that was accidentally deleted from OneDrive.</p><h3>Prerequisites</h3><ul><li>A OneDrive account with the file deleted within the last 30 days.</li></ul><h3>Step-by-Step Instructions</h3><ol><li><strong>Access Recycle Bin:</strong> Go to <strong>OneDrive</strong> &rarr; <strong>Recycle Bin</strong>.</li><li><strong>Locate File:</strong> Search or scroll to find the deleted file by name.<ul><li>Files older than 30 days may not appear and require an admin restore.</li></ul></li><li><strong>Select File:</strong> Click the checkbox next to the file to select it.</li><li><strong>Restore File:</strong> Click <strong>Restore</strong> to return the file to its original folder.</li><li><strong>Confirm Recovery:</strong> A status of <code>RESTORE_COMPLETE</code> appears once the file is back in place.</li></ol>,IT Support,General,Permanent,feature,recover a deleted file from onedrive
How to Configure Email Signature in Outlook,"<h3>Overview</h3><p>This article explains how to create and set a default email signature in Outlook.</p><h3>Prerequisites</h3><ul><li>Outlook desktop or web access with an active mailbox.</li></ul><h3>Step-by-Step Instructions</h3><ol><li><strong>Access Signature Settings:</strong> Go to <strong>File</strong> &rarr; <strong>Options</strong> &rarr; <strong>Mail</strong> &rarr; <strong>Signatures</strong>.</li><li><strong>Create New Signature:</strong> Click <strong>New</strong> and enter a name for the signature.</li><li><strong>Enter Signature Content:</strong> Type or paste your signature text, including name, title, and contact details.<ul><li>Use the formatting toolbar to add a logo image if required.</li></ul></li><li><strong>Set Default Signature:</strong> Under <strong>Choose default signature</strong>, select the signature for <strong>New messages</strong> and <strong>Replies/forwards</strong>.</li><li><strong>Save Settings:</strong> Click <strong>OK</strong> to apply the signature.</li></ol>",IT Support,General,Permanent,feature,configure email signature in outlook
How to Escalate a Ticket to a Senior Agent,"<h3>Overview</h3><p>This article explains how an agent escalates an open ticket to a senior agent or specialist team.</p><h3>Prerequisites</h3><ul><li>An open ticket assigned to you.</li><li>Escalation permissions enabled on your agent role.</li></ul><h3>Step-by-Step Instructions</h3><ol><li><strong>Open Ticket:</strong> Go to the ticket and click <strong>Escalate</strong> in the action bar.</li><li><strong>Select Escalation Reason:</strong> Choose a reason from the <strong>Escalation Reason</strong> dropdown.<ul><li>Options include Technical Complexity, SLA Risk, or Customer Request.</li></ul></li><li><strong>Add Escalation Note:</strong> Summarize the issue and the steps already attempted in the note field.</li><li><strong>Assign Escalation Group:</strong> Select the <strong>Senior Support</strong> group and click <strong>Confirm Escalation</strong>.</li><li><strong>Track Status:</strong> The ticket status changes to <code>ESCALATED</code> and appears in the senior queue.</li></ol><blockquote><p>Always add an escalation note — senior agents rely on it to avoid re-asking the customer for context already given.</p></blockquote>",IT Support,General,Permanent,procedure,escalate a ticket to a senior agent
